Instrument:,H2S-230807479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Zone Offset (Minutes):,-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orignal File Name:,F:\Pretreat\H2S Odalog Data\Acrulog Raw Data\phils 06-03 to 07-01.acrudata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session ID:,13921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session 1st Title:,phils 06-03 to 07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session Start:,"6/3/2024, 12:17:27 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session End:,"7/1/2024, 1:12:27 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Every 5 mins,,,,,,,,,Every 3 mins,,,,,,,,,,,,,,,,,,,,,
Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time,,,,NH3,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 6:22:27 PM",3.65,114.3,62.2,0,2024-06-03T22:22:27.000Z,,,,"6/3/2024, 3:57:27 PM",3.655,101.1,88.7,40,2024-06-03T19:57:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 6:27:27 PM",3.65,115.5,61.4,0,2024-06-03T22:27:27.000Z,,,,"6/3/2024, 4:00:27 PM",3.656,101.1,88.7,41,2024-06-03T20:00:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 6:32:27 PM",3.649,116.6,60.6,0,2024-06-03T22:32:27.000Z,,,,"6/3/2024, 4:03:27 PM",3.656,101.1,88.7,42,2024-06-03T20:03:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 6:37:27 PM",3.649,117.1,59.8,0,2024-06-03T22:37:27.000Z,,,,"6/3/2024, 4:06:27 PM",3.656,101.1,88.7,44,2024-06-03T20:06:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 6:42:27 PM",3.649,117.3,59.1,0,2024-06-03T22:42:27.000Z,,,,"6/3/2024, 4:09:27 PM",3.656,100.9,88.7,45,2024-06-03T20:09:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 6:47:27 PM",3.649,117,58.3,1,2024-06-03T22:47:27.000Z,,,,"6/3/2024, 4:12:27 PM",3.656,100.9,88.7,44,2024-06-03T20:12:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 6:52:27 PM",3.649,115.3,57.7,1,2024-06-03T22:52:27.000Z,,,,"6/3/2024, 4:15:27 PM",3.656,100.9,88.7,44,2024-06-03T20:15:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 6:57:27 PM",3.65,114.8,57.5,1,2024-06-03T22:57:27.000Z,,,,"6/3/2024, 4:18:27 PM",3.656,100.8,88.7,41,2024-06-03T20:18:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 7:02:27 PM",3.65,114.1,57.3,1,2024-06-03T23:02:27.000Z,,,,"6/3/2024, 4:21:27 PM",3.656,100.9,88.7,43,2024-06-03T20:21:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 7:07:27 PM",3.65,114.1,57.2,0,2024-06-03T23:07:27.000Z,,,,"6/3/2024, 4:24:27 PM",3.656,101.1,88.7,42,2024-06-03T20:24:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 7:12:27 PM",3.65,111.4,57.1,1,2024-06-03T23:12:27.000Z,,,,"6/3/2024, 4:27:27 PM",3.656,101.3,88.7,43,2024-06-03T20:27:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 7:17:27 PM",3.651,108,57.2,0,2024-06-03T23:17:27.000Z,,,,"6/3/2024, 4:30:27 PM",3.656,101.3,88.7,45,2024-06-03T20:30:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 7:22:27 PM",3.651,105.4,57.7,0,2024-06-03T23:22:27.000Z,,,,"6/3/2024, 4:33:27 PM",3.656,101.5,88.7,42,2024-06-03T20:33:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 7:27:27 PM",3.652,103.5,58.3,0,2024-06-03T23:27:27.000Z,,,,"6/3/2024, 4:36:27 PM",3.656,101.7,88.7,42,2024-06-03T20:36:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 7:32:27 PM",3.653,101.8,59,0,2024-06-03T23:32:27.000Z,,,,"6/3/2024, 4:39:27 PM",3.656,101.7,88.7,39,2024-06-03T20:39:27.000Z,,,,,,,,,,,,,,,,,,,,,
"6/3/2024, 7:37:27 PM",3.653,100.4,59.7,0,2024-06-03T23:37:27.000Z,,,,"6/3/2024, 4:42:27 PM",3.656,101.8,88.7,39,2024-06-03T20:42:27.000Z,,,,,,,,,,,,,,,,,,,,,
